"","...1","Iron","Cobalt","Copper","Zinc","Cadmium","Manganese","MouseID","SampleType","Genotype","Sex"
"75","Y10_MUC-COL","274.965","n/a",3908.29,12222.222,"0.264",13.513,"Y10","MUC-COL","MUT","Male"
"76","Y11_MUC-COL","117.73","0.414",16.19,76.451,"n/a",14.599,"Y11","MUC-COL","MUT","Male"
"77","Y12_MUC-COL","n/a","0",15.505,143.565,"n/a",3.592,"Y12","MUC-COL","MUT","Male"
"78","Y13_MUC-COL","326.472","1.615",26.702,120.817,"n/a",19.505,"Y13","MUC-COL","MUT","Male"
"79","Y14_MUC-COL","54.396","0.131",8.203,63.053,"n/a",2.354,"Y14","MUC-COL","MUT","Male"
"80","Y4 MUC-COL","350.045","0.569",31.456,234.049,"n/a",24.175,"Y4","MUC-COL","MUT","Male"
"81","Y5_MUC-COL","0","n/a",59.625,293.147,"n/a",1.28,"Y5","MUC-COL","MUT","Male"
"82","Y6_MUC-COL","115.084","0.585",65.872,159.544,"n/a",10.078,"Y6","MUC-COL","MUT","Male"
"83","Y8_MUC-COL","36.15","n/a",102.041,235.986,"n/a",2.854,"Y8","MUC-COL","MUT","Male"
"84","Y9 MUC-COL","293.194","0.333",91.677,173.862,"n/a",5.855,"Y9","MUC-COL","MUT","Male"
"85","G10_TS-COL","105.239","0.186",17.289,149.005,"0.009",14.017,"G10","TS-COL","WT","Male"
"86","G11_TS-COL","132.643","0.138",18.488,165.678,"n/a",10.814,"G11","TS-COL","WT","Male"
"87","G12_TS-COL","148.637","0.184",17.267,155.45,"0.011",14.575,"G12","TS-COL","WT","Male"
"88","G13_TS-COL","117.223","0.136",14.441,129.188,"0.007",9.77,"G13","TS-COL","WT","Male"
"89","G15_TS-COL","157.818","0.141",16.641,145.004,"n/a",12.651,"G15","TS-COL","WT","Male"
"90","G16_TS-COL","131.629","0.104",12.487,128.249,"n/a",12.158,"G16","TS-COL","WT","Male"
"91","G17_TS-COL","81.424","0.104",11.916,104.12,"0.009",10.145,"G17","TS-COL","WT","Male"
"92","G6_TS-COL","102.29","0.108",14.964,130.552,"0.008",9.494,"G6","TS-COL","WT","Male"
"93","G7_TS-COL","104.731","0.145",16.395,169.767,"n/a",10.26,"G7","TS-COL","WT","Male"
"94","G8_TS-COL","95.28","0.112",14.911,138.632,"n/a",9.133,"G8","TS-COL","WT","Male"
"95","J1 TS-COL","135.359","0.107",11.717,143.874,"0.007",12.632,"J1","TS-COL","WT","Female"
"96","J10 TS-COL","109.941","0.072",13.242,152.317,"0.008",9.81,"J10","TS-COL","WT","Female"
"97","J11 TS-COL","136.577","0.101",12.217,150.481,"0.008",11.396,"J11","TS-COL","WT","Female"
"98","J12 TS-COL","190.379","0.109",16.942,205.397,"0.008",15.796,"J12","TS-COL","WT","Female"
"99","J13 TS-COL","139.49","0.081",11.537,149.22,"0.008",12.271,"J13","TS-COL","WT","Female"
"100","J14 TS-COL","86.684","0.052",7.811,94.483,"0.005",7.052,"J14","TS-COL","WT","Female"
"101","J2 TS-COL","129.44","0.153",24.003,196.339,"0.02",18.191,"J2","TS-COL","WT","Female"
"102","J6 TS-COL","191.469","0.159",16.845,202.066,"0.014",19.308,"J6","TS-COL","WT","Female"
"103","J7 TS-COL","124.431","0.125",11.334,148.145,"0.011",13.3,"J7","TS-COL","WT","Female"
"104","J9 TS-COL","146.771","0.147",13.315,163.942,"0.019",16.059,"J9","TS-COL","WT","Female"
"105","K1 TS-COL","183.719","0.169",17.69,203.535,"0.016",20.27,"K1","TS-COL","MUT","Female"
"106","K10 TS-COL","162.646","0.16",14.288,172.239,"0.01",16.848,"K10","TS-COL","MUT","Female"
"107","K11 TS-COL","160.144","0.16",17.296,202.358,"0.014",18.053,"K11","TS-COL","MUT","Female"
"108","K2 TS-COL","149.536","0.13",23.773,201.188,"0.014",17.093,"K2","TS-COL","MUT","Female"
"109","K3 TS-COL","145.663","0.138",17.024,188.895,"0.011",14.291,"K3","TS-COL","MUT","Female"
"110","K5 TS-COL","932.399","0.296",15.948,207.184,"0.067",27.964,"K5","TS-COL","MUT","Female"
