"","MouseID","Genotype","Sex","Batch","Day","Score"
"236","1474","MUT","Male","Two","6",-1.459854015
"237","1474","MUT","Male","Two","7",1.459854015
"238","1474","MUT","Male","Two","8",-12.04379562
"239","1474","MUT","Male","Two","9",-15.32846715
"240","1474","MUT","Male","Two","10",0.7299270073
"241","1705","MUT","Male","Two","3",4.62962963
"242","1705","MUT","Male","Two","6",3.240740741
"243","1705","MUT","Male","Two","7",3.703703704
"244","1705","MUT","Male","Two","8",-11.57407407
"245","1705","MUT","Male","Two","9",-15.27777778
"246","1705","MUT","Male","Two","10",-7.87037037
"247","1707","MUT","Male","Two","3",-1.62601626
"248","1707","MUT","Male","Two","6",-1.219512195
"249","1707","MUT","Male","Two","7",3.25203252
"250","1707","MUT","Male","Two","8",-10.16260163
"251","1707","MUT","Male","Two","9",-5.284552846
"252","1707","MUT","Male","Two","10",-0.8130081301
"253","1724","MUT","Male","Two","3",-2.777777778
"254","1724","MUT","Male","Two","6",0
"255","1724","MUT","Male","Two","7",0.7936507937
"256","1724","MUT","Male","Two","8",-8.333333333
"257","1724","MUT","Male","Two","9",-4.761904762
"258","1724","MUT","Male","Two","10",-1.984126984
"259","1511","MUT","Male","Four","3",-0.3937007874
"260","1511","MUT","Male","Four","6",1.181102362
"261","1511","MUT","Male","Four","7",5.118110236
"262","1511","MUT","Male","Four","8",1.57480315
"263","1511","MUT","Male","Four","9",2.755905512
"264","1511","MUT","Male","Four","10",1.57480315
"265","1513","MUT","Male","Four","3",1.214574899
"266","1513","MUT","Male","Four","6",2.834008097
"267","1513","MUT","Male","Four","7",4.048582996
"268","1513","MUT","Male","Four","8",1.214574899
"269","1513","MUT","Male","Four","9",2.429149798
"270","1513","MUT","Male","Four","10",1.214574899
"271","1516","MUT","Male","Four","3",-1.593625498
"272","1516","MUT","Male","Four","6",-0.3984063745
"273","1516","MUT","Male","Four","7",2.788844622
"274","1516","MUT","Male","Four","8",-5.976095618
"275","1516","MUT","Male","Four","9",-1.992031873
"276","1516","MUT","Male","Four","10",-0.3984063745
"277","1520","MUT","Male","Four","3",1.666666667
"278","1520","MUT","Male","Four","6",2.083333333
"279","1520","MUT","Male","Four","7",5.833333333
"280","1520","MUT","Male","Four","8",0
"281","1520","MUT","Male","Four","9",3.333333333
"282","1520","MUT","Male","Four","10",5.833333333
"283","1458","WT","Male","One","3",1.785714286
"284","1458","WT","Male","One","6",3.571428571
"285","1458","WT","Male","One","7",6.696428571
"286","1458","WT","Male","One","8",0
"287","1458","WT","Male","One","9",4.464285714
"288","1458","WT","Male","One","10",4.464285714
"289","1460","WT","Male","One","3",2.304147465
"290","1460","WT","Male","One","6",2.304147465
"291","1460","WT","Male","One","7",9.216589862
"292","1460","WT","Male","One","8",-6.912442396
"293","1460","WT","Male","One","9",3.686635945
"294","1460","WT","Male","One","10",18.43317972
"295","1468","WT","Male","One","3",1.209677419
"296","1468","WT","Male","One","6",3.629032258
"297","1468","WT","Male","One","7",7.258064516
"298","1468","WT","Male","One","8",-6.048387097
"299","1468","WT","Male","One","9",1.612903226
"300","1468","WT","Male","One","10",1.209677419
"301","1466","WT","Male","One","3",1.298701299
"302","1466","WT","Male","One","6",4.761904762
"303","1466","WT","Male","One","7",8.658008658
"304","1466","WT","Male","One","8",-8.658008658
"305","1466","WT","Male","One","9",-15.15151515
"306","1466","WT","Male","One","10",-13.85281385
"307","1717","WT","Male","Two","3",1.234567901
"308","1717","WT","Male","Two","6",3.703703704
"309","1717","WT","Male","Two","7",4.938271605
"310","1717","WT","Male","Two","8",-2.057613169
"311","1717","WT","Male","Two","9",5.761316872
"312","1717","WT","Male","Two","10",4.526748971
"313","1726","WT","Male","Two","3",1.659751037
"314","1726","WT","Male","Two","6",6.22406639
"315","1726","WT","Male","Two","7",9.543568465
"316","1726","WT","Male","Two","8",-7.053941909
"317","1726","WT","Male","Two","9",-12.03319502
"318","1726","WT","Male","Two","10",-7.053941909
"319","1738","WT","Male","Two","3",1.276595745
"320","1738","WT","Male","Two","6",4.680851064
"321","1738","WT","Male","Two","7",6.808510638
"322","1738","WT","Male","Two","8",7.234042553
"323","1738","WT","Male","Two","9",6.808510638
"324","1738","WT","Male","Two","10",8.936170213
"325","1772","WT","Male","Two","3",1.310043668
"326","1772","WT","Male","Two","6",5.240174672
"327","1772","WT","Male","Two","7",8.296943231
"328","1772","WT","Male","Two","8",-2.620087336
"329","1772","WT","Male","Two","9",5.676855895
"330","1772","WT","Male","Two","10",10.48034934
"331","1757","WT","Male","Five","3",-1.568627451
"332","1757","WT","Male","Five","6",0.3921568627
"333","1757","WT","Male","Five","7",1.960784314
"334","1757","WT","Male","Five","8",-11.37254902
"335","1757","WT","Male","Five","9",-17.25490196
"336","1757","WT","Male","Five","10",-19.60784314
"337","1510","WT","Male","Five","3",-0.8196721311
"338","1510","WT","Male","Five","6",1.229508197
"339","1510","WT","Male","Five","7",2.868852459
"340","1510","WT","Male","Five","8",-8.196721311
"341","1510","WT","Male","Five","9",-5.737704918
"342","1510","WT","Male","Five","10",-1.229508197
"343","1517","WT","Male","Five","3",-0.4329004329
"344","1517","WT","Male","Five","6",2.597402597
"345","1517","WT","Male","Five","7",1.731601732
"346","1517","WT","Male","Five","8",-7.792207792
"347","1517","WT","Male","Five","9",-12.55411255
"348","1517","WT","Male","Five","10",-15.58441558
"349","1519","WT","Male","Five","3",-0.8733624454
"350","1519","WT","Male","Five","6",2.183406114
"351","1519","WT","Male","Five","7",4.366812227
"352","1519","WT","Male","Five","8",-11.79039301
"353","1519","WT","Male","Five","9",-18.77729258
"354","1519","WT","Male","Five","10",-19.65065502
"355","1778","HET","Female","Three","3",1.327433628
"356","1778","HET","Female","Three","6",-6.194690265
"357","1778","HET","Female","Three","7",0
"358","1778","HET","Female","Three","8",3.539823009
"359","1782","HET","Female","Three","3",3.225806452
"360","1782","HET","Female","Three","6",0.5376344086
"361","1782","HET","Female","Three","7",4.301075269
"362","1782","HET","Female","Three","8",9.139784946
"363","1793","HET","Male","Three","3",2.713178295
"364","1793","HET","Male","Three","6",-3.875968992
"365","1793","HET","Male","Three","7",5.426356589
"366","1793","HET","Male","Three","8",3.875968992
"367","1800","HET","Male","Three","3",3.720930233
"368","1800","HET","Male","Three","6",-2.325581395
"369","1800","HET","Male","Three","7",3.255813953
"370","1800","HET","Male","Three","8",4.186046512
"371","1503","HET","Male","Three","3",3.515625
"372","1503","HET","Male","Three","6",4.6875
"373","1503","HET","Male","Three","7",9.375
"374","1503","HET","Male","Three","8",6.640625
"375","1779","MUT","Female","Three","3",1.063829787
"376","1779","MUT","Female","Three","6",-11.70212766
"377","1779","MUT","Female","Three","7",-10.63829787
"378","1779","MUT","Female","Three","8",-8.510638298
"379","1781","MUT","Female","Three","3",-2.512562814
"380","1781","MUT","Female","Three","6",-17.5879397
"381","1781","MUT","Female","Three","7",-21.10552764
"382","1781","MUT","Female","Three","8",-7.537688442
"383","1791","MUT","Female","Three","3",-3.5
"384","1791","MUT","Female","Three","6",-13.5
"385","1791","MUT","Female","Three","7",-6.5
"386","1791","MUT","Female","Three","8",-0.5
"387","1796","MUT","Female","Three","3",2.551020408
"388","1796","MUT","Female","Three","6",-13.26530612
"389","1796","MUT","Female","Three","7",-13.7755102
"390","1796","MUT","Female","Three","8",-4.081632653
"391","1784","MUT","Male","Three","3",5.063291139
"392","1784","MUT","Male","Three","6",1.687763713
"393","1784","MUT","Male","Three","7",5.063291139
"394","1784","MUT","Male","Three","8",6.751054852
"395","1785","MUT","Male","Three","3",3.125
"396","1785","MUT","Male","Three","6",5.859375
"397","1785","MUT","Male","Three","7",5.859375
"398","1785","MUT","Male","Three","8",5.859375
"399","1502","MUT","Male","Three","3",0
"400","1502","MUT","Male","Three","6",-0.8403361345
"401","1502","MUT","Male","Three","7",0.4201680672
"402","1502","MUT","Male","Three","8",2.521008403
"403","1780","WT","Female","Three","3",0
"404","1780","WT","Female","Three","6",-2.564102564
"405","1780","WT","Female","Three","7",4.102564103
"406","1780","WT","Female","Three","8",6.666666667
"407","1795","WT","Female","Three","3",1.020408163
"408","1795","WT","Female","Three","6",0.5102040816
"409","1795","WT","Female","Three","7",1.020408163
"410","1795","WT","Female","Three","8",5.102040816
"411","1783","WT","Male","Three","3",0.956937799
"412","1783","WT","Male","Three","6",-7.177033493
"413","1783","WT","Male","Three","7",-4.784688995
"414","1783","WT","Male","Three","8",-0.956937799
"415","1786","WT","Male","Three","3",0.4149377593
"416","1786","WT","Male","Three","6",-12.03319502
"417","1786","WT","Male","Three","7",-16.59751037
"418","1786","WT","Male","Three","8",-11.2033195
"419","1787","WT","Male","Three","3",0.9661835749
"420","1787","WT","Male","Three","6",-11.11111111
"421","1787","WT","Male","Three","7",-18.35748792
"422","1787","WT","Male","Three","8",-19.3236715
"423","1792","WT","Male","Three","3",2.962962963
"424","1792","WT","Male","Three","6",2.222222222
"425","1792","WT","Male","Three","7",1.851851852
"426","1792","WT","Male","Three","8",4.074074074
"427","1799","WT","Male","Three","3",3.305785124
"428","1799","WT","Male","Three","6",0.826446281
"429","1799","WT","Male","Three","7",4.545454545
"430","1799","WT","Male","Three","8",5.371900826
"431","1501","WT","Male","Three","3",2.469135802
"432","1501","WT","Male","Three","6",0.4115226337
"433","1501","WT","Male","Three","7",2.057613169
"434","1501","WT","Male","Three","8",5.349794239
