MouseID,Genotype,Sex,D1,D3,D6,D7,D8,D9,D10,Batch ,,,,MouseID,Batch
1799,WT,Male,24.2,25,24.4,25.3,25.5,NA,NA,Three,,,,1509_1544,Five
1501,WT,Male,24.3,24.9,24.4,24.8,25.6,NA,NA,Three,,,,1512,Five
1757,WT,Male,25.5,25.1,25.6,26,22.6,21.1,20.5,Five,,,,1514,Five
1510,WT,Male,24.4,24.2,24.7,25.1,22.4,23,24.1,Five,,,,1508,Five
1517,WT,Male,23.1,23,23.7,23.5,21.3,20.2,19.5,Five,,,,1757,Five
1519,WT,Male,22.9,22.7,23.4,23.9,20.2,18.6,18.4,Five,,,,1510,Five
1458,WT,Male,22.4,22.8,23.2,23.9,22.4,23.4,23.4,One,,,,1517,Five
1460,WT,Male,21.7,22.2,22.2,23.7,20.2,22.5,25.7,One,,,,1519,Five
1468,WT,Male,24.8,25.1,25.7,26.6,23.3,25.2,25.1,One,,,,,
1466,WT,Male,23.1,23.4,24.2,25.1,21.1,19.6,19.9,One,,,,,
1717,WT,Male,24.3,24.6,25.2,25.5,23.8,25.7,25.4,Two,,,,,
1726,WT,Male,24.1,24.5,25.6,26.4,22.4,21.2,22.4,Two,,,,,
1738,WT,Male,23.5,23.8,24.6,25.1,25.2,25.1,25.6,Two,,,,,
1772,WT,Male,22.9,23.2,24.1,24.8,22.3,24.2,25.3,Two,,,,,
