OTU ID	SLCLTFP004	SLCLTFP005	SLCLTFP006	SLCLTFP010	SLCLTFP011	SLCLTFP012	SLCLTFP016	SLCLTFP017	SLCLTFP018	SLCLTFP022	SLCLTFP023	SLCLTFP024	SLCLTFP028	SLCLTFP029	SLCLTFP030	SLCLTFP034	SLCLTFP035	SLCLTFP036	SLCLTFP040	SLCLTFP041	SLCLTFP042	SLCLTFP046	SLCLTFP047	SLCLTFP048	SLCLTFP052	SLCLTFP053	SLCLTFP054	SLCLTFP058	SLCLTFP059	SLCLTFP060	SLCLTFP064	SLCLTFP065	SLCLTFP066	SLCLTFP070	SLCLTFP071	SLCLTFP072	SLCLTFP076	SLCLTFP077	SLCLTFP078	SLCLTFP082	SLCLTFP083	SLCLTFP084	SLCLTFP094	SLCLTFP095	SLCLTFP096	SLCLTFP100	SLCLTFP101	SLCLTFP102	SLCLTFP106	SLCLTFP107	SLCLTFP108	SLCLTFP112	SLCLTFP113	SLCLTFP114	SLCLTFP118	SLCLTFP119	SLCLTFP120	SLCLTFP124	SLCLTFP125	SLCLTFP126	SLCLTFP130	SLCLTFP131	SLCLTFP132	SLCLTFP136	SLCLTFP137	SLCLTFP138	SLCLTFP142	SLCLTFP143	SLCLTFP144	SLCLTFP148	SLCLTFP149	SLCLTFP150	SLCLTFP154	SLCLTFP155	SLCLTFP156	SLCLTFP160	SLCLTFP161	SLCLTFP162	SLCLTFP166	SLCLTFP167	SLCLTFP168	SLCLTFP172	SLCLTFP173	SLCLTFP174	SLCLTFP178	SLCLTFP179	SLCLTFP180	SLCLTFP184	SLCLTFP185	SLCLTFP186	taxonomy
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	117	120	2940	1350	705	1810	735	2622	2166	2157	5529	1827	58	366	1031	1747	403	1569	17	45	614	136	327	510	20	797	3266	1567	283	5200	1045	430	3511	59	603	4631	144	95	2206	289	21	1688	86	21	2198	104	108	510	253	111	1000	342	158	808	1426	148	1184	204	206	819	118	593	1402	1674	403	921	14	34	1175	6	15	247	17	834	948	14	822	176	1710	1192	63	1380	649	3453	174	321	2603	2056	1027	4123	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	6	34	48	10	17	13	12	202	13	12	16	10	25	9	9	26	0	9	0	5	7	7	2	12	9	79	242	10	0	30	59	24	49	10	13	18	20	43	34	25	47	51	17	5	396	6	11	16	18	21	26	104	8	24	25	0	13	32	33	32	0	0	3691	39	48	67	7	15	23	33	8	459	0	2358	363	6	19	31	1260	2275	6	19	10	11	11	172	6	23	17	10	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae UCG-002	526	156	535	599	629	453	214	262	428	620	525	395	644	601	883	1564	462	1280	182	206	382	140	80	172	46	41	138	2298	5194	4624	1744	1033	743	4489	5742	19690	1975	3159	3634	3833	9201	3432	305	100	53	392	153	39	97	38	34	255	193	84	75	1330	1085	343	873	577	318	370	402	790	780	249	170	169	135	6	5	190	85	29	473	831	5351	743	864	556	1371	3669	4202	1483	223	781	771	10801	8122	2706	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1	20	33	126	192	36	79	65	21	19	22	26	20	4732	190	151	230	42	28	17	38	16	101	0	18	135	62	201	22948	425	4654	25	0	0	26	114	13	0	14	35	15	0	14	22	9	14	10	0	32	23	0	0	20	0	0	3629	309	500	0	17	0	0	15	16	17	0	10	0	0	0	12	25	61	0	0	156	22	11	0	0	13	0	10	22	13	25	107	0	9	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	1613	16562	2646	539	755	1964	607	1387	913	7906	3616	2210	297	1785	495	184	556	689	1154	1587	228	577	175	92	1576	3580	8179	100	571	230	119	117	150	216	1093	302	241	129	388	190	105	100	143	381	94	136	354	471	169	320	185	244	163	212	131	105	239	145	269	454	120	143	161	102	210	228	92	111	222	142	262	208	793	177	1595	181	199	110	57	42	203	95	170	150	472	650	115	145	155	41	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	531	476	994	667	2231	1391	474	413	434	1292	843	752	50	67	45	865	570	298	128	147	186	234	143	75	56	65	271	422	534	354	54	64	61	1588	3367	2828	1817	1340	1641	6416	4178	2852	321	51	164	362	105	30	112	46	49	47	29	29	114	184	224	85	144	218	62	39	104	99	74	46	21	0	18	21	0	65	240	95	309	3400	5988	1411	2022	575	6447	4614	5536	2438	130	501	649	16409	12815	3793	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	70	538	459	57	86	162	67	453	75	61	59	26	99	112	33	97	142	132	30	38	39	139	156	124	132	168	304	54	175	199	588	648	370	202	115	56	167	101	88	218	163	107	150	39	1836	132	89	74	92	19	144	367	39	152	100	50	56	261	72	100	36	32	4357	80	143	111	81	137	181	142	98	2791	62	25463	1505	48	90	65	2887	5674	11	80	85	92	218	641	71	122	260	56	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	42	186	480	74	75	63	64	404	64	57	88	56	138	63	37	71	54	54	30	55	57	48	51	65	57	78	456	34	70	93	83	91	117	46	58	54	49	120	92	101	126	92	61	9	4136	63	82	27	87	69	52	106	35	38	104	27	34	87	66	58	67	29	2146	51	61	75	56	40	45	35	61	2320	64	989	4559	50	68	46	3276	1991	25	80	56	81	84	181	31	101	52	31	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	22	128	91	24	14	10	10	66	30	37	51	7	25	0	33	8	17	25	20	0	20	0	0	9	9	67	314	25	53	20	13	64	61	28	29	42	0	49	51	0	16	12	27	0	435	32	27	6	24	15	36	31	17	0	38	0	46	37	57	29	0	0	391	0	19	27	0	26	31	17	6	1674	0	204	3700	0	9	36	785	919	8	28	51	61	24	56	0	42	75	36	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0	0	3	0	3	0	0	42	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	96	0	0	3	0	0	7	0	3	10	4	0	5	6	2	9	0	3	6	0	0	0	4	5	24	80	0	13	0	0	0	4	5	3	0	0	265	2	0	3	0	0	8	3	3	184	0	863	125	0	0	6	73	133	0	0	3	0	0	12	0	0	0	0	
