MouseID,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Phenotype,Sex,Genotype
1348,0.97%,1.29%,0.65%,0.65%,-0.32%,-5.16%,-6.77%,-7.42%,-10.97%,-12.58%,Percent_Change_Weight,Male,MUT
1326,0.38%,-0.38%,-0.38%,-2.27%,-5.68%,-11.36%,-17.42%,-21.59%,-25.76%,-25.76%,Percent_Change_Weight,Male,MUT
1329,1.65%,2.07%,0.41%,0.83%,0.83%,-0.83%,-3.31%,-1.65%,-0.83%,2.89%,Percent_Change_Weight,Male,MUT
1334,0.00%,1.62%,0.40%,0.40%,-2.02%,-6.07%,-8.50%,-6.48%,-10.12%,-8.91%,Percent_Change_Weight,Male,MUT
1192,-2.43%,0.81%,-0.40%,-0.40%,-3.64%,-11.34%,-17.81%,-25.10%,-29.55%,NA,Percent_Change_Weight,Male,WT
1194,1.30%,6.09%,1.30%,0.00%,-3.04%,-2.61%,-15.65%,-18.26%,-20.87%,-22.61%,Percent_Change_Weight,Male,WT
1196,-0.44%,-0.89%,-2.22%,-0.89%,-4.89%,-14.22%,-15.11%,-16.00%,-17.78%,-14.67%,Percent_Change_Weight,Male,WT
1231,-1.57%,-2.36%,-1.18%,-1.97%,-2.76%,-10.63%,-12.99%,-18.50%,-22.83%,-28.35%,Percent_Change_Weight,Male,WT
1232,2.06%,7.00%,3.70%,4.53%,4.94%,-4.94%,-6.17%,-14.81%,-18.11%,-23.05%,Percent_Change_Weight,Male,WT
1289,-0.70%,0.35%,0.35%,-0.70%,-3.83%,-11.50%,-17.07%,-20.21%,-25.78%,-27.18%,Percent_Change_Weight,Male,WT
1276,0.00%,0.62%,0.92%,0.31%,0.00%,-2.15%,-4.62%,-6.15%,-10.77%,-8.31%,Percent_Change_Weight,Male,WT
1277,0.00%,0.66%,1.66%,1.99%,0.00%,-2.98%,-6.29%,-10.26%,-14.57%,-12.91%,Percent_Change_Weight,Male,WT
1278,0.26%,-1.29%,0.00%,-0.78%,-0.26%,-2.33%,-3.36%,-6.98%,-9.82%,-8.01%,Percent_Change_Weight,Male,WT
1281,0.00%,-4.76%,0.00%,-0.95%,-1.90%,-3.81%,-3.33%,-5.71%,-8.10%,-3.33%,Percent_Change_Weight,Female,MUT
1315,3.09%,3.09%,3.09%,1.03%,-1.03%,-4.64%,-6.19%,-13.40%,-18.56%,-18.04%,Percent_Change_Weight,Female,MUT
1332,3.20%,1.83%,5.02%,2.74%,-0.46%,-4.57%,-6.39%,-8.68%,-15.98%,-18.72%,Percent_Change_Weight,Female,MUT
1300,-0.47%,-0.47%,-2.82%,1.88%,-2.35%,-6.10%,-7.98%,-13.15%,-17.37%,-16.43%,Percent_Change_Weight,Female,WT
1285,-0.42%,0.42%,2.94%,1.26%,-2.52%,-4.20%,-7.14%,-9.24%,-15.97%,-11.76%,Percent_Change_Weight,Female,WT
1287,0.43%,2.16%,0.43%,-1.73%,-4.33%,-6.06%,-7.79%,-12.12%,-13.85%,-11.26%,Percent_Change_Weight,Female,WT
1331,3.11%,4.15%,5.18%,5.18%,3.63%,-1.04%,-4.15%,-11.92%,-19.69%,-21.76%,Percent_Change_Weight,Female,WT
1286,1.99%,1.99%,4.78%,1.20%,-0.40%,-4.38%,-7.97%,-10.76%,-12.35%,-10.76%,Percent_Change_Weight,Female,HET
1322,1.10%,-0.55%,3.31%,0.55%,-2.76%,-4.42%,-8.84%,-13.26%,-18.23%,-15.47%,Percent_Change_Weight,Female,HET
1324,0.95%,0.00%,4.76%,3.33%,0.48%,-1.90%,-4.76%,-8.10%,-12.86%,-10.48%,Percent_Change_Weight,Female,HET
1325,-1.57%,-0.52%,3.14%,1.57%,0.52%,0.00%,-1.57%,-4.71%,-7.85%,-4.71%,Percent_Change_Weight,Female,HET
