OTU ID	SLCLTDTT028	SLCLTDTT029	SLCLTDTT030	SLCLTDTT034	SLCLTDTT035	SLCLTDTT036	SLCLTDTT040	SLCLTDTT041	SLCLTDTT042	SLCLTDTT046	SLCLTDTT047	SLCLTDTT048	SLCLTDTT052	SLCLTDTT053	SLCLTDTT054	SLCLTDTT058	SLCLTDTT059	SLCLTDTT060	SLCLTDTT064	SLCLTDTT065	SLCLTDTT066	SLCLTDTT070	SLCLTDTT071	SLCLTDTT072	SLCLTDTT076	SLCLTDTT077	SLCLTDTT078	SLCLTDTT082	SLCLTDTT083	SLCLTDTT084	SLCLTDTT004	SLCLTDTT005	SLCLTDTT006	SLCLTDTT010	SLCLTDTT011	SLCLTDTT012	SLCLTDTT016	SLCLTDTT017	SLCLTDTT018	SLCLTDTT022	SLCLTDTT023	SLCLTDTT024	SLCLTDTT094	SLCLTDTT095	SLCLTDTT096	SLCLTDTT100	SLCLTDTT101	SLCLTDTT102	SLCLTDTT106	SLCLTDTT107	SLCLTDTT108	SLCLTDTT112	SLCLTDTT113	SLCLTDTT114	SLCLTDTT118	SLCLTDTT119	SLCLTDTT120	SLCLTDTT124	SLCLTDTT125	SLCLTDTT126	SLCLTDTT130	SLCLTDTT131	SLCLTDTT132	SLCLTDTT136	SLCLTDTT137	SLCLTDTT138	SLCLTDTT142	SLCLTDTT143	SLCLTDTT144	SLCLTDTT148	SLCLTDTT149	SLCLTDTT150	SLCLTDTT154	SLCLTDTT155	SLCLTDTT156	SLCLTDTT160	SLCLTDTT161	SLCLTDTT162	SLCLTDTT166	SLCLTDTT167	SLCLTDTT168	SLCLTDTT172	SLCLTDTT173	SLCLTDTT174	SLCLTDTT178	SLCLTDTT179	SLCLTDTT180	SLCLTDTT184	SLCLTDTT185	SLCLTDTT186	taxonomy
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	232	330	350	2225	2204	2227	91	789	863	482	572	578	204	1736	1558	1666	2805	3272	1376	1099	665	1730	1253	2521	434	419	1193	1209	1262	968	449	469	571	1273	1043	1025	1046	897	651	1306	1953	1042	1161	1099	337	1413	620	715	329	419	627	1723	1204	901	791	1564	1449	797	1215	606	1330	441	669	1335	976	607	289	448	585	225	20	32	363	457	670	1085	1958	1808	972	1117	534	1913	2113	2920	233	1439	4201	564	9111	6669	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	45	9	16	107	1681	1309	67	1058	208	38	46	115	324	378	2882	621	40	405	149	38	127	401	84	214	95	87	106	127	169	30	9	28	38	18	17	16	26	63	25	47	235	130	63	139	68	823	85	241	9	57	29	552	27	47	130	13	132	310	173	36	728	117	20	148	375	432	267	26	51	525	139	77	145	107	160	8	546	21	383	47	335	91	42	48	59	43	32	584	19	48	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae UCG-002	145	139	237	347	215	228	18	94	97	42	33	74	50	107	56	1630	1486	1832	324	154	148	6041	3786	10580	710	383	1187	2045	642	482	188	133	127	109	177	99	98	100	88	156	198	41	97	23	12	59	31	48	7	6	22	93	40	32	141	258	568	148	291	151	491	97	125	143	267	84	106	32	99	109	11	22	19	6	23	146	600	242	400	114	298	2449	745	1012	60	235	1165	242	2035	3733	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1	209	62	25	34	138	162	28	21	85	20	15	12	65	785	454	1549	135	372	0	0	20	0	35	0	13	9	0	43	24	0	12	44	29	0	15	17	18	14	9	16	7	0	22	12	0	0	48	46	20	0	11	0	18	20	459	279	1812	6	0	0	0	18	0	0	0	8	12	0	0	0	24	20	15	0	16	0	81	0	0	0	0	11	8	0	13	0	0	0	0	13	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	315	2603	785	164	359	481	173	946	218	573	159	174	922	2753	1549	111	419	251	165	111	74	295	1224	514	110	82	244	334	60	42	5320	2578	63693	1648	1317	1600	736	1343	525	12166	10221	1142	112	1894	161	170	710	983	99	274	65	166	449	119	60	152	186	94	252	222	241	88	108	111	181	126	445	79	71	194	259	147	834	2434	1669	92	193	84	407	157	101	85	135	56	83	598	213	38	169	59	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	20	37	42	201	110	146	26	88	59	58	73	50	23	44	34	176	182	204	27	40	25	1282	2032	1577	356	180	293	2034	2752	445	302	115	156	190	351	180	113	176	79	351	230	60	43	34	18	104	161	73	20	38	25	24	60	8	31	49	56	28	68	30	58	27	25	25	66	0	77	26	58	59	90	27	90	86	118	280	657	240	716	134	143	2617	922	396	29	107	234	187	3008	878	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	125	106	72	464	6121	2964	140	2719	367	238	234	470	652	1386	6543	1094	131	658	285	113	174	3122	639	1512	151	204	189	338	2094	15	36	256	298	58	149	174	98	161	54	158	491	205	472	298	109	1018	520	300	33	96	41	1665	106	67	558	91	1885	624	310	88	287	67	50	227	358	239	545	33	75	570	210	60	540	417	1351	33	1607	100	613	96	450	289	76	74	101	144	103	9573	59	99	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	58	33	72	132	1332	1085	73	819	197	85	86	141	324	323	3516	431	69	234	125	54	80	565	154	260	137	146	111	158	924	43	48	105	127	24	92	57	81	147	111	174	999	678	127	155	66	262	4737	183	75	87	55	155	661	56	126	64	179	112	807	28	634	127	73	94	1016	114	300	53	89	301	1120	73	107	142	181	49	428	80	565	81	473	70	62	83	54	140	109	8342	88	206	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	17	9	25	107	1466	674	50	1192	238	7	46	85	983	267	25262	169	50	135	64	0	49	496	310	292	85	87	61	44	567	24	15	29	45	0	5	25	0	37	36	169	868	522	37	39	28	112	101	73	20	30	42	51	28	55	226	32	258	19	112	11	781	138	70	22	65	53	211	36	47	183	55	36	88	75	250	24	424	44	282	49	258	60	29	8	5	126	67	2058	58	128	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	5	3	0	5	78	71	3	55	11	4	7	15	44	81	150	61	4	51	13	3	25	513	48	205	36	18	60	39	7	4	3	0	0	0	0	0	0	4	5	0	0	2	66	115	32	2081	59	483	5	52	35	993	19	18	86	0	72	35	22	10	123	11	4	12	14	28	20	4	13	58	6	5	11	19	18	0	14	4	18	0	23	4	0	0	8	3	0	121	0	5	
